p bs_error_test bs_bias bs_var 
1 2.4665e-02 2.4363e-02 3.0206e-04 
2 2.3574e-02 2.3270e-02 3.0384e-04 
3 2.2058e-02 2.1687e-02 3.7079e-04 
4 2.0911e-02 2.0531e-02 3.8021e-04 
5 2.0275e-02 1.9858e-02 4.1741e-04 
6 2.0140e-02 1.9687e-02 4.5210e-04 
7 2.0074e-02 1.9744e-02 3.3013e-04 
8 2.0360e-02 1.9881e-02 4.7845e-04 
9 2.0429e-02 2.0009e-02 4.2038e-04 
10 2.0388e-02 1.9901e-02 4.8760e-04 
11 2.0603e-02 2.0123e-02 4.8078e-04 
12 2.0636e-02 2.0118e-02 5.1814e-04 
13 2.0491e-02 2.0026e-02 4.6410e-04 
14 2.0578e-02 2.0054e-02 5.2473e-04 
15 2.0430e-02 1.9953e-02 4.7718e-04 
16 2.0518e-02 1.9949e-02 5.6835e-04 
17 2.0423e-02 1.9860e-02 5.6255e-04 
18 2.0478e-02 1.9860e-02 6.1837e-04 
19 2.0242e-02 1.9694e-02 5.4761e-04 
20 2.0280e-02 1.9692e-02 5.8743e-04 
21 2.0069e-02 1.9528e-02 5.4114e-04 
22 2.0162e-02 1.9624e-02 5.3829e-04 
23 2.0136e-02 1.9493e-02 6.4275e-04 
24 2.0222e-02 1.9528e-02 6.9334e-04 
25 1.9925e-02 1.9270e-02 6.5519e-04 
26 2.0046e-02 1.9393e-02 6.5359e-04 
27 1.9988e-02 1.9318e-02 6.7065e-04 
28 1.9893e-02 1.9221e-02 6.7230e-04 
29 2.6169e-02 1.9024e-02 7.1453e-03 
30 3.0028e-02 1.8605e-02 1.1423e-02 
