p bs_error_test bs_bias bs_var 
1 2.9357e-02 2.9357e-02 0.0000e+00 
2 1.4316e+00 1.4316e+00 0.0000e+00 
3 3.3509e+00 3.3509e+00 0.0000e+00 
4 3.2984e+00 3.2984e+00 0.0000e+00 
5 8.3380e+00 8.3380e+00 0.0000e+00 
6 6.9841e+01 6.9841e+01 0.0000e+00 
7 5.8388e+03 5.8388e+03 0.0000e+00 
8 2.0292e+03 2.0292e+03 0.0000e+00 
9 4.6685e+03 4.6685e+03 0.0000e+00 
10 2.4585e+04 2.4585e+04 0.0000e+00 
11 7.7615e+04 7.7615e+04 0.0000e+00 
12 1.4888e+03 1.4888e+03 0.0000e+00 
13 1.6461e+03 1.6461e+03 0.0000e+00 
14 4.2933e+04 4.2933e+04 0.0000e+00 
15 5.4465e+03 5.4465e+03 0.0000e+00 
16 4.5605e+07 4.5605e+07 0.0000e+00 
17 2.2470e+07 2.2470e+07 0.0000e+00 
18 2.5373e+08 2.5373e+08 0.0000e+00 
19 3.5136e+08 3.5136e+08 0.0000e+00 
20 5.7637e+04 5.7637e+04 0.0000e+00 
