p bs_error_test bs_bias bs_var 
1 2.4558e-02 2.4347e-02 2.1124e-04 
2 2.8840e-02 2.2622e-02 6.2178e-03 
3 2.7358e-02 2.0237e-02 7.1205e-03 
4 2.5715e-02 1.9482e-02 6.2335e-03 
5 2.5134e-02 1.8879e-02 6.2544e-03 
6 2.6450e-02 1.8795e-02 7.6549e-03 
7 2.8428e-02 1.9553e-02 8.8757e-03 
8 3.0003e-02 1.9494e-02 1.0509e-02 
9 2.9962e-02 1.8888e-02 1.1074e-02 
10 3.1043e-02 1.8827e-02 1.2217e-02 
11 3.1371e-02 1.8242e-02 1.3129e-02 
12 3.3566e-02 1.8878e-02 1.4689e-02 
13 3.2524e-02 1.9134e-02 1.3391e-02 
14 3.5261e-02 2.0022e-02 1.5239e-02 
15 3.4661e-02 1.8709e-02 1.5952e-02 
16 3.4386e-02 1.8940e-02 1.5446e-02 
17 3.4467e-02 1.7867e-02 1.6600e-02 
18 3.6628e-02 1.9346e-02 1.7282e-02 
19 3.7137e-02 1.9010e-02 1.8127e-02 
20 3.8558e-02 1.9143e-02 1.9415e-02 
21 3.6162e-02 1.8532e-02 1.7630e-02 
22 3.6967e-02 1.9323e-02 1.7645e-02 
23 3.7541e-02 1.8496e-02 1.9045e-02 
24 4.3217e-02 1.9769e-02 2.3448e-02 
25 3.9239e-02 1.8967e-02 2.0272e-02 
26 4.7924e-02 1.9616e-02 2.8308e-02 
27 4.2715e-02 2.0325e-02 2.2390e-02 
28 4.2027e-02 1.8160e-02 2.3867e-02 
29 4.1281e-02 1.9012e-02 2.2269e-02 
30 5.4294e-02 2.0459e-02 3.3834e-02 
