p bs_error_test bs_bias bs_var 
1 2.4340e-02 2.4340e-02 0.0000e+00 
2 5.4973e-02 5.4973e-02 0.0000e+00 
3 1.8548e-02 1.8548e-02 0.0000e+00 
4 2.2452e-02 2.2452e-02 0.0000e+00 
5 3.5084e-02 3.5084e-02 0.0000e+00 
6 2.2784e-02 2.2784e-02 0.0000e+00 
7 1.7982e-02 1.7982e-02 0.0000e+00 
8 2.7262e-02 2.7262e-02 0.0000e+00 
9 4.4156e-02 4.4156e-02 0.0000e+00 
10 6.3309e-02 6.3309e-02 0.0000e+00 
11 7.3954e-02 7.3954e-02 0.0000e+00 
12 2.5721e-02 2.5721e-02 0.0000e+00 
13 4.5299e-02 4.5299e-02 0.0000e+00 
14 3.2941e-02 3.2941e-02 0.0000e+00 
15 4.8811e-02 4.8811e-02 0.0000e+00 
16 2.5868e-02 2.5868e-02 0.0000e+00 
17 3.1025e-02 3.1025e-02 0.0000e+00 
18 3.7882e-02 3.7882e-02 0.0000e+00 
19 3.6617e-02 3.6617e-02 0.0000e+00 
20 2.7220e-02 2.7220e-02 0.0000e+00 
