p bs_error_test bs_bias bs_var 
1 3.3888e-02 3.3888e-02 0.0000e+00 
2 2.2294e-02 2.2294e-02 0.0000e+00 
3 2.1253e-02 2.1253e-02 0.0000e+00 
4 2.2537e-02 2.2537e-02 0.0000e+00 
5 1.8998e-02 1.8998e-02 0.0000e+00 
6 1.7115e-02 1.7115e-02 0.0000e+00 
7 1.5252e-02 1.5252e-02 0.0000e+00 
8 1.6580e-02 1.6580e-02 0.0000e+00 
9 2.1734e-02 2.1734e-02 0.0000e+00 
10 1.7336e-02 1.7336e-02 0.0000e+00 
11 2.8953e-02 2.8953e-02 0.0000e+00 
12 4.8315e-02 4.8315e-02 0.0000e+00 
13 2.5597e-02 2.5597e-02 0.0000e+00 
14 1.9480e-02 1.9480e-02 0.0000e+00 
15 1.7444e-02 1.7444e-02 0.0000e+00 
16 1.9773e-02 1.9773e-02 0.0000e+00 
17 1.6240e-02 1.6240e-02 0.0000e+00 
18 1.7651e-02 1.7651e-02 0.0000e+00 
19 2.1143e-02 2.1143e-02 0.0000e+00 
20 4.1659e-02 4.1659e-02 0.0000e+00 
