p bs_error_test bs_bias bs_var 
1 2.4530e-02 2.4333e-02 1.9791e-04 
2 2.8763e-02 2.2574e-02 6.1896e-03 
3 2.7413e-02 2.0243e-02 7.1700e-03 
4 2.5640e-02 1.9465e-02 6.1744e-03 
5 2.5065e-02 1.8873e-02 6.1913e-03 
6 2.6444e-02 1.8766e-02 7.6777e-03 
7 2.8556e-02 1.9660e-02 8.8965e-03 
8 2.9871e-02 1.9466e-02 1.0405e-02 
9 2.9893e-02 1.8853e-02 1.1040e-02 
10 3.0968e-02 1.8779e-02 1.2189e-02 
11 3.1281e-02 1.8235e-02 1.3047e-02 
12 3.3383e-02 1.8875e-02 1.4508e-02 
13 3.2865e-02 1.9039e-02 1.3826e-02 
14 3.5442e-02 2.0123e-02 1.5319e-02 
15 3.4200e-02 1.8545e-02 1.5656e-02 
16 3.4625e-02 1.8916e-02 1.5708e-02 
17 3.4484e-02 1.7815e-02 1.6669e-02 
18 3.7497e-02 1.9650e-02 1.7847e-02 
19 3.6875e-02 1.8975e-02 1.7900e-02 
20 3.7454e-02 1.9166e-02 1.8288e-02 
